age,fitness_level,fitness_level_name,goal,goal_name,day1_workout,day1_workout_name,day2_workout,day2_workout_name,day3_workout,day3_workout_name,day4_workout,day4_workout_name,day5_workout,day5_workout_name,day6_workout,day6_workout_name,day7_workout,day7_workout_name,target_workout
21,1,Intermediate,1,Muscle Gain,3,HIIT,2,Strength,0,Rest,2,Strength,2,Strength,2,Strength,0,Rest,0
52,1,Intermediate,1,Muscle Gain,2,Strength,2,Strength,0,Rest,2,Strength,2,Strength,2,Strength,0,Rest,0
24,1,Intermediate,1,Muscle Gain,2,Strength,2,Strength,0,Rest,2,Strength,2,Strength,2,Strength,0,Rest,0
41,2,Advanced,2,General Fitness,3,HIIT,2,Strength,3,HIIT,2,Strength,3,HIIT,5,Swimming,2,Strength,2
32,2,Advanced,0,Weight Loss,6,Cycling,3,HIIT,2,Strength,3,HIIT,3,HIIT,6,Cycling,1,Cardio,1
21,0,Beginner,0,Weight Loss,1,Cardio,0,Rest,2,Strength,0,Rest,1,Cardio,0,Rest,4,Yoga,4
27,1,Intermediate,1,Muscle Gain,2,Strength,2,Strength,0,Rest,2,Strength,2,Strength,2,Strength,0,Rest,0
61,2,Advanced,0,Weight Loss,3,HIIT,3,HIIT,2,Strength,3,HIIT,3,HIIT,6,Cycling,1,Cardio,1
64,2,Advanced,0,Weight Loss,3,HIIT,3,HIIT,2,Strength,3,HIIT,3,HIIT,6,Cycling,1,Cardio,1
46,1,Intermediate,2,General Fitness,5,Swimming,2,Strength,1,Cardio,2,Strength,6,Cycling,5,Swimming,4,Yoga,4
24,1,Intermediate,0,Weight Loss,3,HIIT,1,Cardio,2,Strength,1,Cardio,3,HIIT,6,Cycling,0,Rest,0
24,0,Beginner,2,General Fitness,1,Cardio,2,Strength,0,Rest,3,HIIT,0,Rest,1,Cardio,4,Yoga,4
44,0,Beginner,2,General Fitness,1,Cardio,2,Strength,0,Rest,3,HIIT,0,Rest,1,Cardio,4,Yoga,4
36,2,Advanced,2,General Fitness,3,HIIT,2,Strength,6,Cycling,2,Strength,3,HIIT,5,Swimming,2,Strength,2
55,1,Intermediate,2,General Fitness,2,Strength,3,HIIT,1,Cardio,2,Strength,3,HIIT,5,Swimming,4,Yoga,4
36,0,Beginner,1,Muscle Gain,2,Strength,0,Rest,2,Strength,0,Rest,2,Strength,2,Strength,0,Rest,0
62,2,Advanced,1,Muscle Gain,2,Strength,2,Strength,2,Strength,2,Strength,2,Strength,2,Strength,0,Rest,0
55,2,Advanced,0,Weight Loss,0,Rest,3,HIIT,2,Strength,3,HIIT,3,HIIT,6,Cycling,1,Cardio,1
29,0,Beginner,1,Muscle Gain,2,Strength,0,Rest,2,Strength,0,Rest,2,Strength,2,Strength,1,Cardio,1
63,2,Advanced,0,Weight Loss,3,HIIT,3,HIIT,2,Strength,3,HIIT,3,HIIT,6,Cycling,1,Cardio,1
60,1,Intermediate,2,General Fitness,2,Strength,3,HIIT,5,Swimming,2,Strength,3,HIIT,5,Swimming,4,Yoga,4
42,2,Advanced,2,General Fitness,3,HIIT,2,Strength,3,HIIT,2,Strength,3,HIIT,5,Swimming,2,Strength,2
54,2,Advanced,0,Weight Loss,3,HIIT,3,HIIT,2,Strength,3,HIIT,6,Cycling,6,Cycling,1,Cardio,1
38,1,Intermediate,2,General Fitness,2,Strength,3,HIIT,1,Cardio,2,Strength,3,HIIT,5,Swimming,4,Yoga,4
32,2,Advanced,2,General Fitness,5,Swimming,2,Strength,3,HIIT,2,Strength,3,HIIT,5,Swimming,2,Strength,2
61,1,Intermediate,1,Muscle Gain,2,Strength,2,Strength,0,Rest,2,Strength,2,Strength,2,Strength,0,Rest,0
19,2,Advanced,2,General Fitness,3,HIIT,2,Strength,3,HIIT,2,Strength,6,Cycling,5,Swimming,2,Strength,2
58,1,Intermediate,1,Muscle Gain,6,Cycling,2,Strength,0,Rest,2,Strength,2,Strength,2,Strength,0,Rest,0
34,0,Beginner,1,Muscle Gain,2,Strength,0,Rest,2,Strength,0,Rest,2,Strength,2,Strength,0,Rest,0
54,1,Intermediate,2,General Fitness,2,Strength,3,HIIT,1,Cardio,2,Strength,3,HIIT,5,Swimming,2,Strength,2
20,2,Advanced,1,Muscle Gain,2,Strength,2,Strength,2,Strength,2,Strength,2,Strength,2,Strength,0,Rest,0
48,0,Beginner,1,Muscle Gain,2,Strength,0,Rest,2,Strength,0,Rest,6,Cycling,2,Strength,0,Rest,0
60,2,Advanced,0,Weight Loss,2,Strength,5,Swimming,2,Strength,6,Cycling,3,HIIT,6,Cycling,1,Cardio,1
59,0,Beginner,0,Weight Loss,1,Cardio,0,Rest,2,Strength,0,Rest,1,Cardio,0,Rest,4,Yoga,4
40,1,Intermediate,2,General Fitness,2,Strength,3,HIIT,1,Cardio,2,Strength,3,HIIT,5,Swimming,4,Yoga,4
56,1,Intermediate,1,Muscle Gain,2,Strength,2,Strength,0,Rest,2,Strength,2,Strength,2,Strength,0,Rest,0
62,2,Advanced,0,Weight Loss,3,HIIT,3,HIIT,2,Strength,4,Yoga,3,HIIT,6,Cycling,1,Cardio,1
21,1,Intermediate,1,Muscle Gain,2,Strength,2,Strength,4,Yoga,2,Strength,2,Strength,2,Strength,0,Rest,0
63,0,Beginner,0,Weight Loss,1,Cardio,0,Rest,1,Cardio,0,Rest,1,Cardio,0,Rest,4,Yoga,4
42,1,Intermediate,0,Weight Loss,3,HIIT,1,Cardio,2,Strength,1,Cardio,3,HIIT,6,Cycling,0,Rest,0
54,0,Beginner,2,General Fitness,1,Cardio,2,Strength,0,Rest,3,HIIT,0,Rest,1,Cardio,1,Cardio,1
28,0,Beginner,1,Muscle Gain,2,Strength,0,Rest,2,Strength,0,Rest,3,HIIT,2,Strength,0,Rest,0
29,1,Intermediate,1,Muscle Gain,2,Strength,2,Strength,0,Rest,2,Strength,5,Swimming,2,Strength,0,Rest,0
34,0,Beginner,0,Weight Loss,1,Cardio,0,Rest,2,Strength,0,Rest,2,Strength,0,Rest,1,Cardio,1
43,1,Intermediate,2,General Fitness,2,Strength,3,HIIT,0,Rest,2,Strength,3,HIIT,5,Swimming,4,Yoga,4
48,0,Beginner,1,Muscle Gain,2,Strength,0,Rest,2,Strength,0,Rest,2,Strength,2,Strength,0,Rest,0
48,2,Advanced,1,Muscle Gain,2,Strength,2,Strength,2,Strength,2,Strength,2,Strength,2,Strength,0,Rest,0
38,1,Intermediate,1,Muscle Gain,2,Strength,3,HIIT,0,Rest,2,Strength,2,Strength,2,Strength,0,Rest,0
57,0,Beginner,0,Weight Loss,1,Cardio,0,Rest,2,Strength,2,Strength,1,Cardio,0,Rest,4,Yoga,4
29,2,Advanced,1,Muscle Gain,2,Strength,2,Strength,2,Strength,2,Strength,2,Strength,2,Strength,0,Rest,0
48,1,Intermediate,2,General Fitness,2,Strength,3,HIIT,1,Cardio,2,Strength,3,HIIT,5,Swimming,4,Yoga,4
30,0,Beginner,0,Weight Loss,3,HIIT,0,Rest,2,Strength,1,Cardio,1,Cardio,0,Rest,4,Yoga,4
46,0,Beginner,1,Muscle Gain,2,Strength,0,Rest,2,Strength,0,Rest,2,Strength,2,Strength,2,Strength,2
24,0,Beginner,0,Weight Loss,1,Cardio,0,Rest,2,Strength,0,Rest,1,Cardio,0,Rest,4,Yoga,4
21,2,Advanced,1,Muscle Gain,2,Strength,2,Strength,2,Strength,2,Strength,2,Strength,2,Strength,0,Rest,0
55,0,Beginner,2,General Fitness,1,Cardio,2,Strength,0,Rest,3,HIIT,0,Rest,1,Cardio,4,Yoga,4
47,0,Beginner,0,Weight Loss,1,Cardio,0,Rest,1,Cardio,0,Rest,1,Cardio,0,Rest,3,HIIT,3
28,2,Advanced,2,General Fitness,3,HIIT,2,Strength,3,HIIT,2,Strength,3,HIIT,5,Swimming,2,Strength,2
45,0,Beginner,1,Muscle Gain,2,Strength,2,Strength,4,Yoga,0,Rest,2,Strength,2,Strength,6,Cycling,6
49,2,Advanced,2,General Fitness,3,HIIT,2,Strength,3,HIIT,2,Strength,3,HIIT,5,Swimming,2,Strength,2
64,1,Intermediate,0,Weight Loss,3,HIIT,1,Cardio,2,Strength,1,Cardio,3,HIIT,6,Cycling,0,Rest,0
24,1,Intermediate,0,Weight Loss,3,HIIT,1,Cardio,2,Strength,1,Cardio,2,Strength,6,Cycling,0,Rest,0
49,2,Advanced,2,General Fitness,3,HIIT,2,Strength,3,HIIT,2,Strength,0,Rest,5,Swimming,2,Strength,2
28,1,Intermediate,2,General Fitness,2,Strength,3,HIIT,1,Cardio,2,Strength,3,HIIT,5,Swimming,4,Yoga,4
58,1,Intermediate,2,General Fitness,4,Yoga,3,HIIT,1,Cardio,2,Strength,3,HIIT,5,Swimming,4,Yoga,4
63,1,Intermediate,1,Muscle Gain,2,Strength,2,Strength,0,Rest,2,Strength,2,Strength,2,Strength,0,Rest,0
22,1,Intermediate,2,General Fitness,2,Strength,3,HIIT,1,Cardio,2,Strength,3,HIIT,5,Swimming,4,Yoga,4
59,1,Intermediate,2,General Fitness,2,Strength,3,HIIT,1,Cardio,2,Strength,3,HIIT,5,Swimming,4,Yoga,4
45,2,Advanced,1,Muscle Gain,2,Strength,2,Strength,2,Strength,2,Strength,2,Strength,6,Cycling,0,Rest,0
54,1,Intermediate,1,Muscle Gain,2,Strength,2,Strength,0,Rest,2,Strength,2,Strength,2,Strength,0,Rest,0
30,1,Intermediate,0,Weight Loss,3,HIIT,1,Cardio,2,Strength,1,Cardio,3,HIIT,6,Cycling,0,Rest,0
53,0,Beginner,2,General Fitness,1,Cardio,2,Strength,3,HIIT,3,HIIT,0,Rest,1,Cardio,4,Yoga,4
49,2,Advanced,0,Weight Loss,3,HIIT,3,HIIT,2,Strength,3,HIIT,3,HIIT,6,Cycling,1,Cardio,1
45,0,Beginner,0,Weight Loss,1,Cardio,0,Rest,2,Strength,0,Rest,5,Swimming,0,Rest,4,Yoga,4
60,0,Beginner,0,Weight Loss,1,Cardio,0,Rest,2,Strength,3,HIIT,1,Cardio,0,Rest,4,Yoga,4
35,0,Beginner,1,Muscle Gain,2,Strength,0,Rest,2,Strength,0,Rest,2,Strength,2,Strength,0,Rest,0
41,1,Intermediate,0,Weight Loss,3,HIIT,1,Cardio,2,Strength,1,Cardio,3,HIIT,6,Cycling,0,Rest,0
37,1,Intermediate,1,Muscle Gain,2,Strength,2,Strength,0,Rest,4,Yoga,2,Strength,2,Strength,3,HIIT,3
44,0,Beginner,1,Muscle Gain,2,Strength,0,Rest,2,Strength,0,Rest,2,Strength,2,Strength,0,Rest,0
57,1,Intermediate,2,General Fitness,2,Strength,3,HIIT,1,Cardio,2,Strength,3,HIIT,5,Swimming,4,Yoga,4
29,0,Beginner,1,Muscle Gain,2,Strength,0,Rest,2,Strength,0,Rest,2,Strength,2,Strength,0,Rest,0
18,0,Beginner,2,General Fitness,1,Cardio,2,Strength,0,Rest,3,HIIT,0,Rest,1,Cardio,4,Yoga,4
61,1,Intermediate,1,Muscle Gain,2,Strength,2,Strength,0,Rest,6,Cycling,2,Strength,2,Strength,0,Rest,0
54,0,Beginner,2,General Fitness,1,Cardio,4,Yoga,0,Rest,3,HIIT,0,Rest,1,Cardio,4,Yoga,4
33,0,Beginner,0,Weight Loss,1,Cardio,0,Rest,6,Cycling,4,Yoga,6,Cycling,0,Rest,4,Yoga,4
49,1,Intermediate,1,Muscle Gain,2,Strength,0,Rest,0,Rest,2,Strength,2,Strength,2,Strength,0,Rest,0
49,1,Intermediate,2,General Fitness,6,Cycling,3,HIIT,1,Cardio,2,Strength,3,HIIT,5,Swimming,4,Yoga,4
63,2,Advanced,2,General Fitness,3,HIIT,2,Strength,3,HIIT,0,Rest,3,HIIT,5,Swimming,2,Strength,2
54,2,Advanced,1,Muscle Gain,2,Strength,2,Strength,2,Strength,2,Strength,2,Strength,2,Strength,0,Rest,0
57,2,Advanced,1,Muscle Gain,2,Strength,2,Strength,2,Strength,2,Strength,5,Swimming,2,Strength,0,Rest,0
22,2,Advanced,2,General Fitness,3,HIIT,2,Strength,3,HIIT,2,Strength,3,HIIT,5,Swimming,2,Strength,2
22,1,Intermediate,1,Muscle Gain,2,Strength,2,Strength,0,Rest,1,Cardio,2,Strength,2,Strength,0,Rest,0
50,0,Beginner,0,Weight Loss,1,Cardio,0,Rest,3,HIIT,0,Rest,1,Cardio,0,Rest,4,Yoga,4
29,1,Intermediate,2,General Fitness,2,Strength,3,HIIT,1,Cardio,2,Strength,3,HIIT,5,Swimming,4,Yoga,4
59,2,Advanced,0,Weight Loss,3,HIIT,3,HIIT,6,Cycling,3,HIIT,3,HIIT,6,Cycling,5,Swimming,5
54,1,Intermediate,1,Muscle Gain,2,Strength,2,Strength,1,Cardio,2,Strength,2,Strength,2,Strength,0,Rest,0
32,2,Advanced,0,Weight Loss,3,HIIT,3,HIIT,2,Strength,3,HIIT,4,Yoga,2,Strength,1,Cardio,1
54,2,Advanced,0,Weight Loss,3,HIIT,3,HIIT,2,Strength,3,HIIT,3,HIIT,6,Cycling,1,Cardio,1
57,0,Beginner,1,Muscle Gain,2,Strength,0,Rest,2,Strength,4,Yoga,2,Strength,2,Strength,0,Rest,0
38,2,Advanced,1,Muscle Gain,2,Strength,2,Strength,2,Strength,2,Strength,2,Strength,2,Strength,0,Rest,0
